COM,Nom Commune,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,NTLBIN
16001,Abzac,16,1,1,0,133,58,32,27,8,0,0,11,0,286.333460848161,185.712917623081,157.357797911305,28.3551197117764,5.11353936515419,0.0,0.0,20.2216417639909,12.1028692569755,7.06172392617824,100.62054322508,16.2672946977818,46.151085984427,38.2021625428712,25.128928734005,0.0,25.2311533485015,17790,414,0
16002,Les Adjots,25,3,0,0,139,67,39,24,16,0,1,8,0,319.333868059327,237.744607848844,211.240693672464,26.5039141763806,1.95457707336702,0.0,1.95457707336702,20.6527253970951,18.6546556331679,15.7169629402944,81.5892602104825,26.6832177506604,14.6471325869682,40.2589098728539,34.2361629235248,9.86511824935875,44.2861334041545,18440,518,0
16003,Agris,34,14,0,1,227,126,59,30,18,0,4,21,3,537.453409986503,422.216458163795,366.047617714945,56.1688404488498,14.1169250006196,0.0,0.942841381127225,48.30431120227,21.0565538150057,13.193794774954,115.236951822708,36.2759997778706,48.1275268668903,30.8334251779474,45.3509855661624,20.46555925363,80.4007690130348,19930,834,0
16005,Aigre,36,13,7,0,428,231,93,59,32,1,8,37,6,798.80100709515,582.127268443404,491.532472270346,90.594796173058,24.2911689243422,5.02045330824505,0.0,80.8783822336732,34.1790754983419,19.1200292394785,216.673738651746,39.6579391973841,93.347381818392,83.6684176359695,25.5623100318283,40.045551380373,111.65181157282,19770,1369,0
16007,Alloue,14,2,0,0,118,72,34,15,18,0,1,9,3,261.517159106467,195.720125640878,171.302995624272,24.4171300166063,3.05724127881605,1.03118072893315,0.0,16.2505123558966,9.17700670116449,11.1312740772872,65.7970334655892,14.2448258428513,29.3206501887799,22.2315574339581,20.2103891539721,5.07822818588065,25.3401385200483,18680,452,0
16008,Amberac,7,2,0,1,80,43,28,9,7,0,0,8,1,180.050915905593,145.172366564449,125.705489622593,19.4668769418561,4.64742661242365,0.0,0.0,15.8226751951938,8.86912083579689,5.71913421322149,34.8785493411434,5.75408659516815,14.4085125579696,14.7159501880057,10.7256049571333,14.8505452480855,9.32047528428694,19990,312,0
16009,Ambernac,13,8,0,1,113,52,13,18,15,0,0,9,0,237.138532028172,164.245340693091,147.213292751996,17.0320479410949,5.0079933994714,0.0,1.01519820399092,26.9820561398125,7.01618812780822,7.03851679310937,72.893191335081,16.775946244899,33.1725257733391,22.9447193168429,10.038441029677,5.07599101995458,35.1383389713222,18570,356,0
16011,Anais,16,11,3,1,143,96,46,32,23,1,9,28,1,360.952624365865,285.741206329539,262.81828726622,22.9229190633198,3.96945568210411,1.00413946728137,0.0,17.7350189751974,26.8437557037434,19.7681627917199,75.2114180363259,23.6582681045762,27.1611531535556,24.3919967781941,19.5470570435183,24.7092629268932,59.3049699575928,22820,590,0
16012,Angeac-Champagne,17,6,1,0,122,76,38,15,9,1,3,19,1,313.096935323743,246.357151319288,222.301099280534,24.0560520387542,1.95292337541783,0.0,0.890316536952516,25.808686991946,12.6495443867339,9.72089968191677,66.739784004455,18.8201880300685,34.0630507504789,13.8565452239077,14.8595189607622,19.3013863200996,10.2207868155986,23480,513,0
16013,Angeac-Charente,8,4,1,0,85,46,14,21,10,0,0,10,0,172.116291462287,138.782368936403,125.442828504587,13.3395404318161,2.9515965408974,1.62084440123558,0.847161084443884,9.98950666363499,14.097179305473,3.89430371649059,33.3339225258832,8.71995728561086,14.3248294239196,10.2891358163528,9.71665673666085,3.86841658395848,22.5390030360597,23020,320,0
16014,Angeduc,9,1,0,0,23,30,11,8,3,0,0,3,0,77.1958041958042,54.8741258741259,51.1538461538462,3.72027972027972,0.0,0.0,0.0,2.79020979020979,6.51048951048951,2.79020979020979,22.3216783216783,10.2307692307692,5.58041958041958,6.51048951048951,13.9510489510489,0.0,4.65034965034965,21200,138,0
16015,Angouleme,1278,2698,104,222,6916,5447,3252,3607,3713,79,162,1339,157,26883.216806234,19442.2862834226,15343.3041163168,4098.98216710572,803.251084990267,339.654750315861,339.306554642798,1965.70009956046,2899.71606655439,3194.74811320557,7440.93052281148,3193.94715615078,1273.64413204751,2973.33923461318,983.76051522101,3370.25773524335,4954.42723035406,19640,38480,1
16016,Ansac-sur-Vienne,30,7,0,0,223,132,59,32,22,0,1,18,0,455.722871766951,351.821915109526,320.800854475299,31.0210606342277,6.73426292843351,2.05542428847536,1.88125133063291,27.8022020632576,22.2409986708438,15.7955045589773,103.900956657425,28.5005427292486,50.1956808025234,25.204733125653,20.1091732090599,19.2383084198477,35.7675372785431,21850,791,0
16018,Ars,24,11,2,2,200,96,47,35,41,1,1,22,4,430.563788517024,333.957683127642,303.493578477255,30.4641046503879,2.92359045731916,0.957854075904276,1.91631428092326,24.7884089351501,23.5295592642797,29.0667863480166,96.6061053893813,27.0443813713677,49.2382785242531,20.3234454937606,24.8128717491195,44.3390650969456,92.2710166667017,25400,698,0
16019,Asnieres-sur-Nouere,40,24,2,1,323,174,125,73,45,1,4,28,8,791.022538705008,621.72702976658,564.274736094069,57.4522936725112,10.2577314163771,4.1050010989935,1.02590932160005,41.0377421115248,58.4822920166839,30.7786450707923,169.295508938428,57.4327526027881,72.8718355765058,38.9909207591342,46.1681971897722,41.0431919265225,184.679602790076,22670,1279,0
16020,Aubeterre-sur-Dronne,4,4,0,0,42,29,19,35,51,1,3,20,10,134.0,100.0,87.0,13.0,1.0,0.0,0.0,10.0,14.0,20.0,34.0,8.0,17.0,9.0,15.0,15.0,10.0,19030,198,0
16023,Aunac-sur-Charente,23,9,0,0,145,94,52,23,22,0,1,15,0,328.0,235.0,203.0,32.0,7.0,1.0,0.0,21.0,18.0,10.0,93.0,27.0,40.0,26.0,15.0,20.0,30.0,19980,582,0
