COM,ET_C2_x,ET_C3_x,ET_C4_x,ETAZ017,ETBE017,ETFZ017,ETGZ017,ETAZ117,ETAZ1017,ETAZ5017,ETPBE1017,ETPFZ1017,ETPBE2017,ETPFZ2017,ETPBE5017,ETPFZ5017,ETPGZ5017,ETPAZCP17,ETPFZCP17,ETPGZCP17,ETPOQCP17,ETPRESPUB17,ETNPRESPUB17,ETPNPRESPUB17,ETASSMAT17,EFF_DE_x,EFF_C1_x,EFF_C2_x,EFF_C3_x,EFF_C4_x,EFF_C5,EFF_HZ_x,EFF_JZ,EFF_KZ_x,ETBE021,ETFZ021,ETGZ021,ETOQ021,ETAZ1021,ETAZ2021,ETFZ2021,ETAZ5021,ETFZ5021,ETPAZ121,ETPBE1021,ETPBE2021,ETPGZ5021,ETPAZCP21,ETPBECP21,ETPFZCP21,ETPGZCP21,ETNPRESPUB21,ETPPRESPUB21,ETPNPRESPUB21,ETASSMAT21,EFF_DE_y,EFF_C1_y,EFF_C2_y,EFF_C3_y,EFF_C4_y,EFF_HZ_y,EFF_KZ_y,ET_DE,ET_C2_y,ET_C3_y,ET_C4_y,Pop 15 ans ou plus Agriculteurs exploitants en 1999 (compl),Pop Hommes 90 ans ou plus en 2010 (princ),Pop 15 ans ou plus Hommes Agriculteurs exploitants en 2010 (comp,Pop 15-24 ans Agriculteurs exploitants en 2010 (compl),"Pop 15-24 ans Artisans, Comm, Chefs entr en 2010 (compl)",P20_POP01P_IRAN3,P20_POP55P_IRAN3P,C20_POP2554_CS1,C20_POP55P_CS1,PCT,NVAC18,SUP_GEO,AU2010,CATAU2010,TAU2010_RP17,SumOfNB_EQUIP_x,SumOfNB_EQUIP1_x,SumOfNB_EQUIP2_x,SumOfNB_EQUIP2_y,SumOfNB_EQUIP1_y,SumOfNB_EQUIP_y,NPERC1_CS2_2410,NPERC1_CS2_2423,NPERC1_CS2_2469,NPERC1_CS2_2471,NPERC2_CS2_2410,NPERC2_CS2_2421,NPERC2_CS2_2423,NPERC2_CS2_2448,NPERC2_CS2_2469,NPERC2_CS2_2471,NPERC2_CS2_2472,NPERC3_CS2_2410,NPERC3_CS2_2421,NPERC3_CS2_2423,NPERC3_CS2_2447,NPERC3_CS2_2448,NPERC3_CS2_2469,NPERC3_CS2_2471,NPERC3_CS2_2472,NPERC3_CS2_2473,NPERC3_CS2_2476,NPERC3_CS2_2481,NPERC4_CS2_2410,NPERC4_CS2_2421,NPERC4_CS2_2422,NPERC4_CS2_2423,NPERC4_CS2_2447,NPERC4_CS2_2448,NPERC4_CS2_2454,NPERC4_CS2_2455,NPERC4_CS2_2456,NPERC4_CS2_2466,NPERC4_CS2_2469,NPERC4_CS2_2471,NPERC4_CS2_2472,NPERC4_CS2_2473,NPERC4_CS2_2476,NPERC4_CS2_2481,NPERC5_CS2_2410,NPERC5_CS2_2421,NPERC5_CS2_2422,NPERC5_CS2_2423,NPERC5_CS2_2441,NPERC5_CS2_2446,NPERC5_CS2_2447,NPERC5_CS2_2448,NPERC5_CS2_2451,NPERC5_CS2_2454,NPERC5_CS2_2455,NPERC5_CS2_2456,NPERC5_CS2_2461,NPERC5_CS2_2466,NPERC5_CS2_2469,NPERC5_CS2_2471,NPERC5_CS2_2472,NPERC5_CS2_2473,NPERC5_CS2_2476,NPERC5_CS2_2481,NPERC5_CS2_2482,NPERC6_CS2_2410,NPERC6_CS2_2421,NPERC6_CS2_2422,NPERC6_CS2_2423,NPERC6_CS2_2431,NPERC6_CS2_2432,NPERC6_CS2_2436,NPERC6_CS2_2441,NPERC6_CS2_2446,NPERC6_CS2_2447,NPERC6_CS2_2448,NPERC6_CS2_2451,NPERC6_CS2_2454,NPERC6_CS2_2455,NPERC6_CS2_2456,NPERC6_CS2_2461,NPERC6_CS2_2466,NPERC6_CS2_2469,NPERC6_CS2_2471,NPERC6_CS2_2472,NPERC6_CS2_2473,NPERC6_CS2_2476,NPERC6_CS2_2481,NPERC6_CS2_2482,MED16,PBEN16,PPMINI16,P20_HNSAL15P_AIDFAM,P20_ACTOCC15P_ILT5,P20_ACTOCC15P_VELO,C20_ACTOCC1564_CS1,C20_AGRILT_FSAL,C20_INDUSLT_FSAL,C20_CONSTLT_FSAL,UU,C14_ACT1564_CS1,P14_ACTOCC15P_ILT2,C09_ACT1564_CS1,C09_AGRILT_SAL,C09_INDUSLT_NSAL,C09_CONSTLT_FNSAL,P09_HSAL15P_EMPAID,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,NTLBIN,P09_FSCOL1824,P09_NSCOL15P_CEP,P20_HNSCOL15P_SUP5,uprIPm2,nbobs_com,nbobs_mail,i015_A2013,i031_A2013,i033a_A2013,i033b_A2013,i034a_A2013,i034b_A2013,i035a_A2013,i035b_A2013,i061b_A2013,i067_A2013,i081a_A2013,i081b_A2013,i081c_A2013,i081d_A2013,i081f_A2013,i091b_A2013,i092b_A2013,i097_A2013,i114_A2013,i118b_A2013,i015_A2019,i033a_A2019,i033b_A2019,i034a_A2019,i034b_A2019,i036a_A2019,i036c_A2019,i070a_A2019,i070b_A2019,i075b_A2019,i087a_A2019,i087b_A2019,i087c_A2019,i087d_A2019,i091b_A2019,i105c_A2019,i105d_A2019,i105e_A2019,i105f_A2019,i118b_A2019,i120a_A2019
16001,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,8.0,0.0,0.0,6.0,9.0,25.0,10.0,10,73.891948198,3344,0,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.01552257137888,0.0,30.1802446111157,0.0,5.05131587711063,0.0,33701.0,23.0,59.0,16.0,0.0,4.0,0.0,1.0,28.0,13.0,0,7.0,50.0,1.0,7.32133673379125,0,1735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,197.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
16002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,8.0,0.0,0.0,24.0,8.0,0.0,0.0,8,27.7,1128,478,222,1,24.0,28.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.00412945518532,0.0,0.0,0.0,0.0,33701.0,4.97433340655896,114.409668350856,7.47614341557372,0.0,3.73807170778686,0.0,0.0,30.8390915892416,3.73807170778686,0,4.67258963473358,57.0055935437497,5.0,9.19110981901625,2,636,0.0,22270.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9259444150917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0554787831459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
16003,0,0,0,0,0,1,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,4,0,0,11,0,27,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,24.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,12.0,0.0,0.0,60.0,4.0,5.0,0.0,19,37.0,1867,49,112,7,72.0,120.0,72.0,64.0,64.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.03082941319731,5.15414706598657,0.0,25.3549877187943,0.0,33701.0,8.04784688995216,284.692583732058,16.1372549019608,8.0686274509804,8.0686274509804,0.0,1.00857843137255,1.00857843137255,9.07720588235295,0,3.02573529411765,75.6433823529412,8.0,10.061279929848,13,538,0.0,497568.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,2.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.94,0.0,0.0,0.0,25.5,0.0
16005,0,0,0,3,0,1,1,1,0,0,10,43,75,0,0,0,0,0,0,0,0,6,0,0,14,0,53,0,0,0,43,9,0,7,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,10.0,0.0,37.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,0.0,0.0,62.0,42.0,10.0,0.0,8,128.85365854,2376,0,400,0,1272.0,1880.0,1060.0,1080.0,900.0,1520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.9695954306339,10.1491047509344,0.0,38.0955960847909,4.89340155412541,33701.0,23.8278452526963,235.356952188421,31.9493044317446,0.0,3.90748807578209,0.0,4.88436009472761,27.8263789104976,14.1307889049162,0,11.9379016728113,301.285840305744,19.0,10.3764542154107,56,493,0.0,343348.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8109826279361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37.67,0.0,0.0,0.0,0.0,0.0,1.0,1515.91,0.0,0.0,22.25364254871509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.18,0.0
16007,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,32.0,0.0,0.0,13.0,8.0,20.0,5.0,6,51.986462265,4658,0,400,0,70.0,80.0,70.0,84.0,70.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.05259728849304,0.0,25.3401385200483,0.0,5.12988070272228,0.0,33701.0,29.0,112.0,52.0,4.0,4.0,0.0,0.0,18.0,5.0,0,7.0,77.0,4.0,9.87960572696513,7,507,0.0,170025.0,2.0,2.0,2.0,0.0,0.0,0.0,28.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,102.0,0.0,2.0,2.0,2.0,0.0,1.0,381.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0
16008,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,0.0,0.0,17.0,1.0,4.0,0.0,5,10.047619048,1210,0,400,0,6.0,6.0,6.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78700661089741,0.0,0.0,4.2146456232161,0.0,0.0,0.0,33701.0,4.12012012012012,100.942942942943,8.0769178132316,8.15967606430812,0.0,0.0,0.0,4.0384589066158,1.00961472665395,0,3.02884417996185,37.3557448861961,2.0,11.4004324463704,7,568,0.0,943543.0,2.0,2.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,inf,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.42,0.0,0.0,0.0,103.0,0.0
16009,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,12.0,0.0,0.0,12.0,8.0,15.0,10.0,10,32.769496059,2986,0,400,0,7.0,8.0,7.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0038441029677,0.981515437666547,24.764290823364,0.0,0.0,0.0,33701.0,55.0,82.0,28.0,0.0,0.0,4.0,1.0,6.0,2.0,0,3.0,81.0,10.0,9.87960572696513,1,507,0.0,202912.0,0.0,0.0,2.0,0.0,0.0,0.0,28.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,0.0,2.0,0.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
16011,0,0,0,1,0,0,1,1,0,0,12,27,0,0,0,0,0,0,0,0,0,4,0,0,9,0,3,0,0,0,21,173,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,181.0,25.0,0.0,0.0,0.0,0.0,20.0,1.0,17.0,0.0,0.0,51.0,4.0,20.0,10.0,5,29.78047138,986,49,112,7,51.0,90.0,51.0,57.0,57.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.988270198867676,24.7886294048589,0.0,10.1117371903748,13.2786731032849,33701.0,15.0,213.0,16.0,11.90076069105,0.0,0.0,0.0,4.0,6.0,0,3.0,48.0,9.0,11.4004324463704,6,568,0.0,42927.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.47,0.0,0.0,0.0,0.0,0.0,1.0,127.29,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.66,0.0
16012,0,0,0,0,0,0,0,6,2,0,0,0,45,0,0,0,0,0,0,0,0,2,0,0,6,0,64,0,0,0,0,0,0,7,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,14.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,16.0,1.0,8.0,0.0,0.0,25.0,5.0,9.0,0.0,7,16.063492063,1434,150,112,5,40.0,44.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.975444768445568,2.0420285105226,9.32880652699042,35.8171900844708,31.8386764327941,0.0,33701.0,12.191235059761,138.167330677291,24.5290581162325,60.8117811419838,4.0,0.0,0.0,5.11022044088175,1.02204408817635,0,5.11022044088175,59.2785571142283,5.0,10.9134408739193,4,587,0.0,24117.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,67.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.44038806012436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0
16013,0,0,0,0,0,0,0,8,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,16.0,0.0,0.0,3.0,0.0,4.0,5.0,7,18.0,1083,997,120,0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.773683316791695,9.31437647563059,0.0,4.97253798292556,0.0,33701.0,19.7808219178082,114.728767123288,11.7150395778364,4.08293636159017,0.0,0.0,0.0,5.8575197889182,0.0,0,3.90501319261214,42.9551451187335,7.0,12.3150358160661,0,504,0.0,747660.0,0.0,0.0,2.0,2.0,0.0,0.0,24.2460273972603,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,101.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.3928976817593295,0.0,0.0,0.0,0.0,0.0,855.46,226.78,0.0,0.0,101.0,0.0
