COM,Nom Commune,NTLBIN,P20_SCOL1824,P20_SCOL2529,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_SUP34,P20_ETUD1564,P20_RETR1564,C20_ACT1564_CS3,C20_ACT1564_CS4
16001,Abzac,0,1,0,58,32,0,0,11,0,286.333460848161,28.3551197117764,5.11353936515419,0.0,0.0,12.1028692569755,16.2672946977818,46.151085984427,0.0,25.2311533485015
16002,Les Adjots,0,3,0,67,39,0,1,8,0,319.333868059327,26.5039141763806,1.95457707336702,0.0,1.95457707336702,18.6546556331679,26.6832177506604,14.6471325869682,9.86511824935875,44.2861334041545
16003,Agris,0,14,1,126,59,0,4,21,3,537.453409986503,56.1688404488498,14.1169250006196,0.0,0.942841381127225,21.0565538150057,36.2759997778706,48.1275268668903,20.46555925363,80.4007690130348
16005,Aigre,0,13,0,231,93,1,8,37,6,798.80100709515,90.594796173058,24.2911689243422,5.02045330824505,0.0,34.1790754983419,39.6579391973841,93.347381818392,40.045551380373,111.65181157282
16007,Alloue,0,2,0,72,34,0,1,9,3,261.517159106467,24.4171300166063,3.05724127881605,1.03118072893315,0.0,9.17700670116449,14.2448258428513,29.3206501887799,5.07822818588065,25.3401385200483
16008,Amberac,0,2,1,43,28,0,0,8,1,180.050915905593,19.4668769418561,4.64742661242365,0.0,0.0,8.86912083579689,5.75408659516815,14.4085125579696,14.8505452480855,9.32047528428694
16009,Ambernac,0,8,1,52,13,0,0,9,0,237.138532028172,17.0320479410949,5.0079933994714,0.0,1.01519820399092,7.01618812780822,16.775946244899,33.1725257733391,5.07599101995458,35.1383389713222
16011,Anais,0,11,1,96,46,1,9,28,1,360.952624365865,22.9229190633198,3.96945568210411,1.00413946728137,0.0,26.8437557037434,23.6582681045762,27.1611531535556,24.7092629268932,59.3049699575928
16012,Angeac-Champagne,0,6,0,76,38,1,3,19,1,313.096935323743,24.0560520387542,1.95292337541783,0.0,0.890316536952516,12.6495443867339,18.8201880300685,34.0630507504789,19.3013863200996,10.2207868155986
16013,Angeac-Charente,0,4,0,46,14,0,0,10,0,172.116291462287,13.3395404318161,2.9515965408974,1.62084440123558,0.847161084443884,14.097179305473,8.71995728561086,14.3248294239196,3.86841658395848,22.5390030360597
16014,Angeduc,0,1,0,30,11,0,0,3,0,77.1958041958042,3.72027972027972,0.0,0.0,0.0,6.51048951048951,10.2307692307692,5.58041958041958,0.0,4.65034965034965
16015,Angouleme,1,2698,222,5447,3252,79,162,1339,157,26883.216806234,4098.98216710572,803.251084990267,339.654750315861,339.306554642798,2899.71606655439,3193.94715615078,1273.64413204751,3370.25773524335,4954.42723035406
16016,Ansac-sur-Vienne,0,7,0,132,59,0,1,18,0,455.722871766951,31.0210606342277,6.73426292843351,2.05542428847536,1.88125133063291,22.2409986708438,28.5005427292486,50.1956808025234,19.2383084198477,35.7675372785431
16018,Ars,0,11,2,96,47,1,1,22,4,430.563788517024,30.4641046503879,2.92359045731916,0.957854075904276,1.91631428092326,23.5295592642797,27.0443813713677,49.2382785242531,44.3390650969456,92.2710166667017
16019,Asnieres-sur-Nouere,0,24,1,174,125,1,4,28,8,791.022538705008,57.4522936725112,10.2577314163771,4.1050010989935,1.02590932160005,58.4822920166839,57.4327526027881,72.8718355765058,41.0431919265225,184.679602790076
16020,Aubeterre-sur-Dronne,0,4,0,29,19,1,3,20,10,134.0,13.0,1.0,0.0,0.0,14.0,8.0,17.0,15.0,10.0
16023,Aunac-sur-Charente,0,9,0,94,52,0,1,15,0,328.0,32.0,7.0,1.0,0.0,18.0,27.0,40.0,20.0,30.0
16024,Aussac-Vadalle,0,4,1,70,40,1,1,10,0,329.991961091621,33.3927021986494,5.08292491855902,1.00647591369537,0.983379580865304,30.0621715467802,17.9812434805639,35.0266758857032,14.8661753771299,64.8462383516658
16025,Baignes-Sainte-Radegonde,0,9,0,141,89,0,2,46,5,688.677723061971,59.2259259884042,11.944305916529,2.91045148332334,1.01552905036785,34.6944830027839,46.3999209999099,62.0726800858654,19.6223787844397,74.2735749765339
16026,Balzac,0,29,1,194,138,0,7,24,4,825.0,54.0,9.0,1.0,5.0,87.0,79.0,77.0,95.0,165.0
16027,Barbezieres,0,0,0,24,13,0,0,3,1,79.4444444444445,6.19047619047619,0.0,0.0,0.0,4.12698412698413,4.12698412698413,11.3492063492064,5.15873015873016,10.3174603174603
16028,Barbezieux-Saint-Hilaire,1,122,8,628,329,15,32,192,12,2625.0,262.0,55.0,22.0,9.0,206.0,212.0,224.0,140.0,390.0
16029,Bardenac,0,2,0,40,12,0,0,10,2,146.0,12.0,1.0,1.0,0.0,10.0,6.0,16.0,15.0,10.0
16030,Barret,0,13,0,134,89,0,0,28,2,604.437880555515,36.4431755357114,9.15478109593436,1.01066265948854,0.0,43.5174849061046,41.6390128807919,54.3839874958589,50.4083453467274,111.069580705966
16031,Barro,0,3,0,71,38,0,1,8,1,231.417295730838,23.923526065389,0.995617014238552,0.0,1.99887697704392,20.9519317030968,12.9563945011013,24.9859878679123,24.9095144275402,59.8421937465239
16032,Bassac,0,3,0,74,41,0,3,17,1,328.602213803317,30.0621733649498,5.00433003058798,2.0067407540054,3.0087155084133,12.0432513206112,20.9858850358269,27.109244140946,45.1310036969647,55.1926203497065
16034,Bazac,0,0,0,20,7,0,0,5,0,85.0,4.0,1.0,0.0,0.0,2.0,7.0,10.0,5.0,5.0
16035,Beaulieu-sur-Sonnette,0,2,0,28,9,0,0,7,0,100.522531535448,6.22538626210156,0.880258773242615,0.625872738094384,0.0,4.80835217683073,6.45009094544244,11.8604713937802,0.0,17.7699038203574
16036,Becheresse,0,8,0,40,27,0,0,6,0,188.945713948888,9.07544701603396,0.896348280478875,0.0,0.944146370951628,10.9582270547155,13.3554946582154,16.9519342869648,4.97246655789249,24.9033201480413
16037,Bellon,0,0,0,28,12,0,0,1,0,78.4397163120567,6.95035460992908,0.0,0.99290780141844,0.0,5.95744680851064,4.9645390070922,10.9219858156028,4.9645390070922,9.9290780141844
16038,Benest,0,3,0,35,12,0,0,5,1,159.229199744036,11.86680951112,0.0,0.994153260143324,1.97179110449568,8.91490187075076,15.4324254084687,27.722059900781,9.9429275912054,14.665939480727
16039,Bernac,0,4,0,70,29,0,0,9,3,278.178409042035,21.7863180670722,1.05658360558956,0.0,1.99982898995985,12.9885156768065,15.3511219147374,28.4822291999192,0.0,59.2844144176879
16040,Berneuil,0,4,0,52,26,0,0,5,1,159.394094793626,10.497459121638,2.71573243076923,0.0,0.0,8.97697341343977,12.2697486145353,17.3387052622711,0.0,18.8671307340046
16041,Bessac,0,0,0,25,4,0,0,2,2,54.9158878504673,5.2803738317757,0.0,1.05607476635514,0.0,2.11214953271028,3.16822429906542,8.44859813084112,0.0,5.2803738317757
16042,Besse,0,0,1,14,8,0,0,5,1,63.6428571428571,5.78571428571429,0.964285714285714,0.0,0.0,2.89285714285714,1.92857142857143,5.78571428571429,0.0,4.82142857142857
16044,Bioussac,0,2,0,30,18,0,0,3,1,107.0,7.0,1.0,0.0,0.0,10.0,6.0,6.0,10.0,55.0
16045,Birac,0,8,0,46,16,1,1,13,0,234.0,7.0,0.0,0.0,1.0,20.0,15.0,13.0,25.0,35.0
16046,Coteaux-du-Blanzacais,0,16,2,124,71,0,4,30,2,581.224612803038,62.6795273851923,14.0923953001794,2.97148220015275,2.01603092828293,29.8025989467516,32.6206669504681,41.1764447745149,24.5727266408275,79.8044259990849
16047,Blanzaguet-Saint-Cybard,0,2,0,58,27,0,1,5,1,156.895529773936,9.6758790105322,0.0,1.0682369418493,0.0,9.65427148939186,12.6534985192468,7.65742760982627,5.3411847092465,28.3563479583877
16048,Boisbreteau,0,1,0,16,9,0,2,2,0,66.9457364341085,3.93798449612403,0.0,0.984496124031008,0.0,4.92248062015504,5.90697674418605,6.89147286821705,0.0,4.92248062015504
16049,Bonnes,0,3,0,87,24,0,0,7,2,184.184453030396,20.6231091980383,1.03257164880908,0.0,0.0,13.725187373372,9.35253334339253,30.8609208803689,19.9126900311402,19.5531668909946
16050,Bonneuil,0,3,0,28,15,0,0,16,1,157.0,8.0,2.0,0.0,0.0,12.0,10.0,13.0,5.0,5.0
16052,Bors (Canton de Tude-et-Lavalette),0,3,0,57,18,0,1,10,0,125.0,11.0,1.0,0.0,1.0,5.0,6.0,10.0,0.0,10.0
16053,Bors (Canton de Charente-Sud),0,3,0,20,7,0,0,2,0,73.6134453781513,8.0672268907563,1.00840336134454,1.00840336134454,0.0,2.01680672268908,3.02521008403361,10.0840336134454,5.04201680672269,5.04201680672269
16054,Le Bouchage,0,3,0,25,13,0,0,4,0,83.4302325581395,8.13953488372093,2.03488372093023,0.0,0.0,3.05232558139535,3.05232558139535,13.2267441860465,0.0,20.3488372093023
16055,Bou├½x,0,12,2,124,78,0,1,9,1,576.446760138402,47.6808318608974,9.02461956378846,4.14154221750444,3.01139376917036,30.5524424572104,40.8380318588325,60.2415454527011,4.92972292152149,88.8733552867382
16056,Bourg-Charente,0,13,1,132,85,1,7,24,2,482.0,26.0,2.0,0.0,5.0,30.0,30.0,40.0,45.0,95.0
16057,Bouteville,0,7,1,44,21,0,1,23,1,188.342844850179,12.0739060130467,1.98931131473,3.04002138650584,0.0,14.1585396751788,11.2136855318773,11.9959726205915,10.0323669170418,40.2598480586473
16058,Boutiers-Saint-Trojan,0,23,2,168,135,0,1,22,1,828.662789069029,67.6075275191351,13.8650869393034,3.76733470149344,3.98932804379478,73.7494251763257,59.6762042179844,87.0571806188334,81.7535586372744,198.156427311367
16059,Brettes,0,2,0,23,15,0,0,3,0,97.7371929322023,8.15319974583385,1.01914996822923,0.0,0.0,5.09574984114615,7.13404977760461,12.2297996187508,0.0,20.3829993645846
16060,Breville,0,6,0,73,29,0,1,25,3,278.268625772869,19.0148585096035,4.86036656453262,0.953501964882982,0.953501964882982,12.8168886293472,18.1455219043668,37.0991610509764,4.76750982441491,38.5608930611632
16061,Brie,0,198,5,661,402,1,3,48,6,2896.91554427689,171.188433046951,11.7208089599552,9.98590761997957,4.07376214212066,187.833316756817,175.828391172978,257.584580494927,143.970341408327,566.107347021985
16062,Brie-sous-Barbezieux,0,1,0,16,10,0,0,6,1,71.4954954954955,2.30630630630631,1.15315315315315,0.0,0.0,3.45945945945946,4.61261261261261,3.45945945945946,5.76576576576577,23.0630630630631
16063,Brie-sous-Chalais,0,0,0,31,14,0,0,1,2,93.0,3.0,0.0,1.0,0.0,7.0,4.0,14.0,0.0,10.0
16064,Brigueuil,1,10,1,187,80,1,2,20,3,630.126493371519,48.5851194044064,7.99177395358387,5.19453223427698,1.93289939873976,46.5601621086004,36.4661166037424,55.7937777841549,16.0808407213487,85.6231213845342
16065,Brillac,0,7,0,82,21,0,1,12,1,316.599162761138,36.7648167022918,14.4642354132882,2.10345620074637,0.0,11.2193201782747,25.6013168334124,33.0558551576051,0.0,20.1372855783584
16066,Brossac,0,2,0,77,33,0,0,13,5,231.306262661745,24.6736822870883,5.83945547674484,1.98528279487734,0.0,11.0119086700808,10.6687572134961,24.1507276854479,5.01408942450483,0.0
16067,Bunzac,0,7,1,66,41,0,0,7,0,292.671852750454,34.1487702407602,5.0355633479246,1.00841967949141,0.0,21.0390131763774,20.9024499964979,16.1150665295191,30.1212400790687,45.2477512401704
16068,Cellefrouin,0,2,2,83,26,0,1,5,0,318.334245013516,39.3759116639042,1.00822351665434,1.01262017524033,1.0104194545415,14.1569237744709,11.1058445864484,34.4137764140479,15.1563636123831,15.1564590608404
16069,Cellettes,0,5,0,65,21,0,0,10,0,245.351614283586,16.5996730260907,3.9597999045057,1.00795785712361,1.00795785712361,11.8493952975305,12.3843261809132,26.436702202183,0.0,5.03978928561807
16070,Chabanais,0,15,0,216,81,3,6,49,6,795.475345685201,94.3448980120399,18.857884088723,4.9431891706098,2.95978638204685,49.7307718348148,54.2090082621243,95.9388271349165,39.8985854598066,94.4440966192404
16071,Chabrac,0,8,1,98,35,0,0,9,1,345.018743207475,29.2903888872247,4.04772019115698,1.00398556572977,1.01188333030464,18.2145838358263,21.4177105103601,24.0722068524739,0.0,65.9334830021581
16072,Chadurie,0,14,1,68,42,0,1,15,3,339.27604395541,30.1933839991121,4.02422945981522,1.00492564437207,2.02799960248948,21.1895512571193,25.186740772398,34.4487708635639,25.2366185935133,50.4506036919392
16073,Chalais,1,16,1,178,64,2,11,85,5,880.306390196969,114.75316509409,31.2986274481943,4.02024008864855,0.0,31.2178388207605,50.4811628272188,92.3309747575581,30.1935468881707,60.2870247765362
16074,Challignac,0,1,0,70,21,0,0,9,0,213.821009714228,11.0986817165548,2.00804463771108,0.0,1.02037084841844,8.06472898988065,9.11225918383626,20.0859247809109,10.1216724382269,45.4259381082203
16075,Champagne-Vigny,0,2,0,37,18,0,1,8,1,144.6,11.2808510638298,3.07659574468085,1.02553191489362,1.02553191489362,14.3574468085106,12.3063829787234,9.22978723404255,5.12765957446809,20.5106382978723
16076,Champagne-Mouton,0,4,0,134,41,1,2,23,4,428.0,38.0,8.0,1.0,2.0,16.0,23.0,60.0,20.0,55.0
16077,Champmillon,0,12,1,58,43,0,0,11,3,327.113242883411,16.9877869470557,2.57033797734166,0.0,0.847119403785716,31.2158602512106,20.029836507943,32.1488036631498,28.0048727087461,53.7915894839393
