COM,Nom Commune,NTLBIN,P20_SCOL1824,P20_SCOL2529,P20_NSCOL15P_SUP2,ETTEF5021,ETTEF1021,ETTEF021,P20_POP1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP5,P20_ETUD1564,P20_RETR1564,C20_ACT1564_CS4
16001,Abzac,0,1,0,32,0,0,0,286.333460848161,5.11353936515419,0.0,16.2672946977818,46.151085984427,25.2311533485015
16002,Les Adjots,0,3,0,39,0,1,0,319.333868059327,1.95457707336702,1.95457707336702,26.6832177506604,14.6471325869682,44.2861334041545
16003,Agris,0,14,1,59,0,4,3,537.453409986503,14.1169250006196,0.942841381127225,36.2759997778706,48.1275268668903,80.4007690130348
16005,Aigre,0,13,0,93,1,8,6,798.80100709515,24.2911689243422,0.0,39.6579391973841,93.347381818392,111.65181157282
16007,Alloue,0,2,0,34,0,1,3,261.517159106467,3.05724127881605,0.0,14.2448258428513,29.3206501887799,25.3401385200483
16008,Amberac,0,2,1,28,0,0,1,180.050915905593,4.64742661242365,0.0,5.75408659516815,14.4085125579696,9.32047528428694
16009,Ambernac,0,8,1,13,0,0,0,237.138532028172,5.0079933994714,1.01519820399092,16.775946244899,33.1725257733391,35.1383389713222
16011,Anais,0,11,1,46,1,9,1,360.952624365865,3.96945568210411,0.0,23.6582681045762,27.1611531535556,59.3049699575928
16012,Angeac-Champagne,0,6,0,38,1,3,1,313.096935323743,1.95292337541783,0.890316536952516,18.8201880300685,34.0630507504789,10.2207868155986
16013,Angeac-Charente,0,4,0,14,0,0,0,172.116291462287,2.9515965408974,0.847161084443884,8.71995728561086,14.3248294239196,22.5390030360597
16014,Angeduc,0,1,0,11,0,0,0,77.1958041958042,0.0,0.0,10.2307692307692,5.58041958041958,4.65034965034965
16015,Angouleme,1,2698,222,3252,79,162,157,26883.216806234,803.251084990267,339.306554642798,3193.94715615078,1273.64413204751,4954.42723035406
16016,Ansac-sur-Vienne,0,7,0,59,0,1,0,455.722871766951,6.73426292843351,1.88125133063291,28.5005427292486,50.1956808025234,35.7675372785431
16018,Ars,0,11,2,47,1,1,4,430.563788517024,2.92359045731916,1.91631428092326,27.0443813713677,49.2382785242531,92.2710166667017
16019,Asnieres-sur-Nouere,0,24,1,125,1,4,8,791.022538705008,10.2577314163771,1.02590932160005,57.4327526027881,72.8718355765058,184.679602790076
16020,Aubeterre-sur-Dronne,0,4,0,19,1,3,10,134.0,1.0,0.0,8.0,17.0,10.0
16023,Aunac-sur-Charente,0,9,0,52,0,1,0,328.0,7.0,0.0,27.0,40.0,30.0
16024,Aussac-Vadalle,0,4,1,40,1,1,0,329.991961091621,5.08292491855902,0.983379580865304,17.9812434805639,35.0266758857032,64.8462383516658
16025,Baignes-Sainte-Radegonde,0,9,0,89,0,2,5,688.677723061971,11.944305916529,1.01552905036785,46.3999209999099,62.0726800858654,74.2735749765339
16026,Balzac,0,29,1,138,0,7,4,825.0,9.0,5.0,79.0,77.0,165.0
16027,Barbezieres,0,0,0,13,0,0,1,79.4444444444445,0.0,0.0,4.12698412698413,11.3492063492064,10.3174603174603
16028,Barbezieux-Saint-Hilaire,1,122,8,329,15,32,12,2625.0,55.0,9.0,212.0,224.0,390.0
16029,Bardenac,0,2,0,12,0,0,2,146.0,1.0,0.0,6.0,16.0,10.0
16030,Barret,0,13,0,89,0,0,2,604.437880555515,9.15478109593436,0.0,41.6390128807919,54.3839874958589,111.069580705966
16031,Barro,0,3,0,38,0,1,1,231.417295730838,0.995617014238552,1.99887697704392,12.9563945011013,24.9859878679123,59.8421937465239
16032,Bassac,0,3,0,41,0,3,1,328.602213803317,5.00433003058798,3.0087155084133,20.9858850358269,27.109244140946,55.1926203497065
16034,Bazac,0,0,0,7,0,0,0,85.0,1.0,0.0,7.0,10.0,5.0
16035,Beaulieu-sur-Sonnette,0,2,0,9,0,0,0,100.522531535448,0.880258773242615,0.0,6.45009094544244,11.8604713937802,17.7699038203574
16036,Becheresse,0,8,0,27,0,0,0,188.945713948888,0.896348280478875,0.944146370951628,13.3554946582154,16.9519342869648,24.9033201480413
16037,Bellon,0,0,0,12,0,0,0,78.4397163120567,0.0,0.0,4.9645390070922,10.9219858156028,9.9290780141844
16038,Benest,0,3,0,12,0,0,1,159.229199744036,0.0,1.97179110449568,15.4324254084687,27.722059900781,14.665939480727
16039,Bernac,0,4,0,29,0,0,3,278.178409042035,1.05658360558956,1.99982898995985,15.3511219147374,28.4822291999192,59.2844144176879
16040,Berneuil,0,4,0,26,0,0,1,159.394094793626,2.71573243076923,0.0,12.2697486145353,17.3387052622711,18.8671307340046
16041,Bessac,0,0,0,4,0,0,2,54.9158878504673,0.0,0.0,3.16822429906542,8.44859813084112,5.2803738317757
16042,Besse,0,0,1,8,0,0,1,63.6428571428571,0.964285714285714,0.0,1.92857142857143,5.78571428571429,4.82142857142857
16044,Bioussac,0,2,0,18,0,0,1,107.0,1.0,0.0,6.0,6.0,55.0
16045,Birac,0,8,0,16,1,1,0,234.0,0.0,1.0,15.0,13.0,35.0
16046,Coteaux-du-Blanzacais,0,16,2,71,0,4,2,581.224612803038,14.0923953001794,2.01603092828293,32.6206669504681,41.1764447745149,79.8044259990849
16047,Blanzaguet-Saint-Cybard,0,2,0,27,0,1,1,156.895529773936,0.0,0.0,12.6534985192468,7.65742760982627,28.3563479583877
16048,Boisbreteau,0,1,0,9,0,2,0,66.9457364341085,0.0,0.0,5.90697674418605,6.89147286821705,4.92248062015504
16049,Bonnes,0,3,0,24,0,0,2,184.184453030396,1.03257164880908,0.0,9.35253334339253,30.8609208803689,19.5531668909946
16050,Bonneuil,0,3,0,15,0,0,1,157.0,2.0,0.0,10.0,13.0,5.0
16052,Bors (Canton de Tude-et-Lavalette),0,3,0,18,0,1,0,125.0,1.0,1.0,6.0,10.0,10.0
