COM,Nom Commune,N TL,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20
16001,Abzac,0,-0.1803299523838155,-0.0752689546291455,-0.09958724974609359,-0.05950845481280661,-0.195232049212394,-0.18822484157967792,-0.1768381983617008,-0.1240527376579138,-0.09808995532285335,-0.14143465120529047,-0.1581894765028913,-0.12887084271323254,-0.19379031700379568,-0.13862739355424644,-0.15514552914217908,-0.16174254503687605,-0.11279412169532299,-0.10491068903163045,-0.11353896112482892,-0.08382823398424484,-0.15001268224863754,-0.1288913860130549,-0.08582575815203856,-0.09650281225805188,-0.09497711823946338,-0.09937771491810558,-0.08592271265359436,-0.12408542924661767,-0.11839378567678188,-0.16980880299606896,17790,414
16002,Les Adjots,0,-0.12833080830401947,-0.07229854655550921,-0.15776759581419383,-0.05950845481280661,-0.187932578034954,-0.1755858522381252,-0.16290795829975097,-0.12951792893100292,-0.08854190762389126,-0.14143465120529047,-0.12206925257887288,-0.14357488412954594,-0.19379031700379568,-0.1303995553746382,-0.1369411441718699,-0.13979866303908683,-0.11730593080286567,-0.15184879398413284,-0.11353896112482892,-0.051313591254059,-0.14803508373597848,-0.11494251248418555,-0.074477732098635,-0.11281720160519214,-0.08021818908208232,-0.27483846908790244,-0.07954326100033061,-0.07186351633914202,-0.10453819236799197,-0.14494078463514534,18440,518
16003,Agris,0,-0.07633166422422344,-0.05596130215050959,-0.15776759581419383,-0.04858360936264165,-0.08087366743250043,-0.09273025544350182,-0.12310727240846574,-0.11858754638482469,-0.08615489569915073,-0.14143465120529047,-0.01370858080681759,-0.07985737132552126,-0.0756123310198833,-0.07601682357065494,-0.07239977400404393,-0.07675333435655399,-0.04500575560806069,0.028868008163973828,-0.11353896112482892,-0.06814394551268439,-0.02118328338530459,-0.10982882714038049,-0.07778589932899141,-0.0839730327084709,-0.0666256164754072,-0.08836995968707473,-0.10877846312904285,-0.00812986373429297,-0.08964983566141624,-0.09780877931177773,19930,834
16005,Aigre,0,-0.06477629887315765,-0.05744650618732774,0.24949482666250786,-0.05950845481280661,0.16365861701174012,0.05472462020794656,-0.055446106393280827,-0.06575736407829652,-0.06944581222596709,-0.05414231920064989,0.13077231488925614,-0.0014358171051831769,0.042565654964029094,-0.010856241645719977,-0.016451602060886753,-0.025649458034109014,0.03889813167106576,0.18004414924854303,-0.010606475176356722,-0.08382823398424484,0.12825044472698774,-0.08189073746061909,-0.07001591597066706,0.002982703969001653,-0.06183354917097758,0.16348128428662012,0.05510082095848874,-0.12160037177256029,-0.06214966779317057,-0.057024086916144,19770,1369
16007,Alloue,0,-0.19188531773488127,-0.07378375059232736,-0.15776759581419383,-0.05950845481280661,-0.21348072715599406,-0.16856419149281812,-0.17285812977257228,-0.1459135027502703,-0.08615489569915073,-0.14143465120529047,-0.12206925257887288,-0.1386735369907748,-0.0756123310198833,-0.14481472674805934,-0.1516442962119496,-0.1560633444533437,-0.12239189862087595,-0.13546462620305655,-0.09239704636646821,-0.08382823398424484,-0.168230260017649,-0.13512060113248625,-0.08049010409729809,-0.1263549402630059,-0.09784287237391616,-0.19311455233828753,-0.1354590371599863,-0.15228889258524883,-0.11126139631313994,-0.1696665700869198,18680,452
16008,Amberac,0,-0.23232909646361152,-0.07378375059232736,-0.15776759581419383,-0.04858360936264165,-0.25971071127978085,-0.2092898238155991,-0.18479833553995786,-0.15684388529644852,-0.09928346128522361,-0.14143465120529047,-0.1581894765028913,-0.14357488412954594,-0.15439765500915822,-0.16512632659797272,-0.16932949655084095,-0.17463299029289772,-0.1344567917298542,-0.1118365233045645,-0.11353896112482892,-0.08382823398424484,-0.17019296532050052,-0.13577609579466646,-0.08758604957978727,-0.15285952156962004,-0.1098738962605335,-0.27616745944412513,-0.15877033669179383,-0.20667572002002613,-0.09753614259838997,-0.1905732977937557,19990,312
16009,Ambernac,0,-0.19766300041041415,-0.06487252637141847,-0.15776759581419383,-0.04858360936264165,-0.21956361980386074,-0.19665083447404638,-0.2146488499584218,-0.14044831147718118,-0.08973541358626153,-0.14143465120529047,-0.1581894765028913,-0.1386735369907748,-0.19379031700379568,-0.15089293655188735,-0.16265641401095016,-0.16587390845001887,-0.140391024018434,-0.10647896593933903,-0.11353896112482892,-0.06694028039424953,-0.11899924451194699,-0.13972102356202448,-0.08585618540543515,-0.12027182530628627,-0.09425638018181996,-0.1716615941489353,-0.13324700961217253,-0.21061599585196605,-0.11126453842055846,-0.15687926576990466,18570,356
16011,Anais,0,-0.1803299523838155,-0.06041691426096403,0.0167734423901069,-0.04858360936264165,-0.18306626391666064,-0.13486021991534422,-0.14897771823780115,-0.1149440855360986,-0.08018736588729944,-0.05414231920064989,0.16689253881327457,-0.04554794135412334,-0.15439765500915822,-0.12002294426388566,-0.12014852121042512,-0.118793618459297,-0.12603363070233642,-0.12191029682342494,-0.09295146329141593,-0.08382823398424484,-0.16142007782348505,-0.09750776802810987,-0.06916613742325492,-0.11828454715115419,-0.08450441674568467,-0.20514183582387252,-0.1287579620471389,-0.15609251407778857,-0.08368953891347053,-0.1253402024209534,22820,590
16012,Angeac-Champagne,0,-0.1745522697082826,-0.06784293444505476,-0.09958724974609359,-0.05950845481280661,-0.2086144130377007,-0.16294686289657248,-0.16489799259431523,-0.1459135027502703,-0.09689644936048308,-0.05414231920064989,-0.04982880473083602,-0.08966006560306351,-0.15439765500915822,-0.13195458083105513,-0.13392786406835608,-0.13529429793244888,-0.12327192781150706,-0.15187336580257482,-0.11353896112482892,-0.06901770309741724,-0.12438208186281406,-0.1277275046212428,-0.08233926913567702,-0.12554677618197754,-0.09135977471203047,-0.16670182982587756,-0.16143596913925842,-0.18297138865310808,-0.09128492064472565,-0.1893983312692136,23480,513
16013,Angeac-Charente,0,-0.22655141378807864,-0.07081334251869106,-0.09958724974609359,-0.05950845481280661,-0.25362781863191414,-0.20507682736841487,-0.21265881566385753,-0.13498312020409203,-0.09570294339811283,-0.14143465120529047,-0.1581894765028913,-0.13377218985200368,-0.19379031700379568,-0.16710462963883327,-0.1715651720838782,-0.1747399593875893,-0.14939050500068587,-0.13703437073878505,-0.08030739152117476,-0.06973559963846307,-0.19695265770091558,-0.12464546329113432,-0.0899786148210445,-0.1541836384586842,-0.10567138101651972,-0.27663353129315504,-0.17250106960694017,-0.21246114345388237,-0.11296058096686458,-0.1733222384971629,23020,320
16014,Angeduc,0,-0.22077373111254572,-0.0752689546291455,-0.15776759581419383,-0.05950845481280661,-0.329055687465461,-0.2275461417533975,-0.21862891854755032,-0.15866561572081156,-0.10405748513470466,-0.14143465120529047,-0.1581894765028913,-0.16808161982340158,-0.19379031700379568,-0.19077071364078851,-0.20092224182849402,-0.20499424768097402,-0.1728348320925764,-0.18089128811139016,-0.11353896112482892,-0.08382823398424484,-0.22997947128359456,-0.14079766520625378,-0.09142621050504637,-0.1636237817950733,-0.10353062341342331,-0.32533537917089056,-0.18422136751209964,-0.1881806586399166,-0.11839378567678188,-0.19666812285646254,21200,138
16015,Angouleme,3,7.111105584138693,3.930326332669398,5.892988395268231,2.365807235123814,8.056820116883543,7.3797211097122775,6.231072230135222,6.397742181561769,4.323849635258964,6.754659577161316,5.693286799188094,6.380118157574828,5.990857616154286,6.49264993728145,6.582173078786564,6.022754582084197,9.808250211134458,11.754383731950409,6.850275990963699,5.560580242175778,8.774880329447972,6.018890146632696,4.0936022318347245,6.19590925706057,4.40766289954177,6.737124767268229,9.018046828968302,5.372816723273871,4.6151450675823344,6.263120446447123,19640,38480
16016,Ansac-sur-Vienne,0,-0.09944239492635501,-0.06635773040823661,-0.15776759581419383,-0.05950845481280661,-0.08573998155079378,-0.08430426254913334,-0.12310727240846574,-0.1149440855360986,-0.08138087184966969,-0.14143465120529047,-0.12206925257887288,-0.09456141274183465,-0.19379031700379568,-0.09639431886941671,-0.0970287905900629,-0.0951801397330463,-0.1062966170670674,-0.080828827431073,-0.07139736181064371,-0.05253337448001185,-0.11523682062521978,-0.10730712228809146,-0.07437475489215505,-0.09369070852790319,-0.07764311527645261,-0.07685141010355839,-0.126237082520577,-0.15286927628353292,-0.09137351377767867,-0.1560581200635889,21850,791
16018,Ars,0,-0.13410849097955235,-0.06041691426096403,-0.041406903677993344,-0.037658763912476696,-0.1137212877309805,-0.13486021991534422,-0.14698768394323689,-0.10947889426300948,-0.05870425856463474,-0.05414231920064989,-0.12206925257887288,-0.07495602418675013,-0.03621966902524583,-0.10266711618379801,-0.10327896917903565,-0.10222855123430816,-0.1076540455277875,-0.13745050501608289,-0.09390043544692188,-0.05195009776133373,-0.12906261300033117,-0.10456375311820595,-0.05697455932754331,-0.09994415154196903,-0.07970643527349701,-0.08218364646354295,-0.1413774636453668,-0.1258977358146736,-0.0561194126640536,-0.0823173153617787,25400,698
